air vent	Bouche d’aération
air-entraining agent	Entraîneur d’air
air-supported structure	Structure gonflable
air-to-air missile	Missile air-air
air-to-air refueling	Ravitaillement en vol
airborne launcher	Lanceur aéroporté
airborne remotesensing	Télédétection aérienne
airborne time	Temps de vol réel
aircraft carrier	Porte-avions, porte-aéronefs
aircraft integrated data system	Enregistreur de maintenance
airedale terrier	Airedale terrier
airmail stamp	Timbre de poste aérienne
airport of debarkation	Zone aéroportuaire de débarquement
airport of embarkation	Zone aéroportuaire d’embarquement
airs and graces	Courses hippiques sur l’hippodrome d'Epsom; Bretelles
airy fairy	Insignifiant; Peu pratique
aisle salmon	Personne, dans un couloir où sur un trotto
ait machine	Portique imageur
akin to	Qui tient de, qui ressembler à, analogue à; Parent de, apparenté à
al desko	Assis au bureau (en mangeant)
alan whickers	Culotte
alarm clock	Réveille-matin
alarums and excursions	Les bruits et l'agitation de la préparatio; De manière générale, une activité fr
alaska hand	Main contenant un roi et un brelan au déma
alaska malamute	Malamute de l’Alaska
alaska pollock	Colin d'Alaska, lieu de l'Alaska (poisson)
alaskan hare	Lièvre d’Alaska, lièvre polaire
alaskan malamute	Malamute de l’Alaska
alaskan yellow cedar	Cyprès de Nootka (Cupressus nootkatensis)
albacore tuna	Thon blanc, germon (Thunnus alalunga)
alcohol test	Éthylotest
alcoholic drink	Boisson alcoolisée
alexander disease	Maladie d’Alexander
alfalfa sprout	Pousse de luzerne
algal coal	Charbon d’algues
algal limestone	Calcaire algaire
algebraic analysis	Analyse algébrique
algebraic closure	Clôture algébrique
algebraic extension	Extension algébrique
algebraic geometry	Géométrie algébrique
algebraic integer	Entier algébrique
algebraic number	Nombre algébrique
algebraic structure	Structure algébrique
algebraic topology	Topologie algébrique
algebraically closed	Algébriquement clos ; (d'un corps K) tel q
alginic acid	Acide alginique
algorithmic credibility	Crédibilité perçue d’un compte ou d’une pe
algorithmic stablecoin	Cryptomonnaie dont la valeur visée est rég
alice in wonderland	Absurde et bizarre
alien species	Espèce exotique
alignment chart	Nomogramme
alignment diagram	Nomogramme
alimentarity test	Test d’alimentarité
alkali metal	Métal alcalin
alkaline anion exchange membrane fuel cell	Pile à combustible à hydrogène à membrane
alkaline earth	Alcalino-terreux
alkaline earth metal	Métal alcalino-terreux
alkaline electrolysis	Électrolyse alcaline de l’eau
alkaline fuel cell	Pile à combustible à hydrogène alcaline
alkaline hydrolysis	Aquamation
alkaline polymer electrolyte fuel cell	Pile à combustible à hydrogène à membrane
alkylglycerophosphoethanolamine phosphodiesterase	Nom donné à une enzyme de la famille des h
all along	Depuis le début, pendant (tout) ce temps,
all at once	Tout à coup, soudainement
all cats are grey in the dark	La nuit, tous les chats sont gris
all for	Entièrement en faveur de, complètement pou
all good things come to those who wait	Tout vient à point à qui sait attendre
all hat and no cattle	Grande gueule, personne qui parle beaucoup
all in	À fond
all in all	L’un dans l’autre ; tout compte fait
all is well that ends well	Tout est bien qui finit bien
all of a sudden	Tout à coup, tout d'un coup, soudainement
all over	Partout
all over again	De nouveau, encore
all right	Bien, pas mal; D’accord, OK; Pas mal
all roads lead to rome	Tous les chemins mènent à Rome
all smiles	Tout sourire, riant
all that glistens is not gold	Tout ce qui brille n’est pas or
all that glitters is not gold	Tout ce qui brille n’est pas or
all the rage	Qui fait fureur, très populaire
all the same	Quand même
all the tea in china	Tout l’or du monde ; chose d’une valeur in
all the time	tout le temps
all the while	Dans l’intervalle
all things come to those who wait	Tout vient à point à qui sait attendre
all things considered	Tout bien considéré, en fin de compte
all well and good	Bel et bon
all work and no play makes jack a dull boy	Ne penser qu’à son travail et à sa carrièr; Trop de travail abrutit
all-terrain cycle	Quad
all-terrain vehicle	Quad
alla prima	Alla prima
allative case	Allatif
alley cat	Chat de gouttière
alligator gar	Garpique alligator
alligator pear	Avocat (fruit)
allis shad	Alose
allochthonous species	Espèce exotique
allopatric speciation	Spéciation sympatrique
allosteric effector	Effecteur allostérique
allow for	Prendre en compte, prendre en considératio
alloxazine mononucleotide sodium salt	Sel de sodium de riboflavine-5′-phosphate
alluvial fan	Éventail alluvial
almond tree	Amandier
almond-leaved pear	Poirier à feuilles d’amandier, poirier fau
aloha shirt	Chemise hawaïenne (à grosses fleurs)
alpha city	Ville-monde
alpha heating	Chauffage alpha
alpha helix	Hélice α
alpha male	Mâle alpha
alpha quartz	Quartz alpha
alpha radiation	Radiation α, rayonnement α
alpha test	Alpha-test
alphabet book	Abécédaire
alphabetical order	Ordre alphabétique
alpine avens	Benoîte des montagnes, sieversie des monta
alpine butterwort	Grassette des Alpes
alpine divorce	Divorce alpin
alpine pasqueflower	Anémone des Alpes
also known as	Alias
alt-right pipeline	Phénomène sur les réseaux sociaux à la rad
alter ego	Alter ego
alternate history	Uchronie
alternate key	Clé candidate
alternate multilayer	Multicouche alternée
alternate reality game	ARG ; récit interactif en ligne qui utilis
alternating copolymer	Copolymère alterné
alternating current	Courant alternatif
alternating dog lichen	Peltigère didactyle (Peltigera didactyla)
alternating residence	Résidence alternée
alternative asset management	Gestion atypique, gestion alternative
alternative country	Country alternative
alternative fact	Fait alternatif
alternative history	Uchronie
alternative investment management	Gestion atypique
alternative metal	Metal alternatif
aluminic hydride	Hydrure d’aluminium, alane (AlH₃)
aluminium foil	Papier d’aluminium, papier d’alu
aluminium hydride	(nom UICPA) Hydrure d’aluminium, alane (Al
aluminium monoxide	Oxyde d’aluminium(II), oxoaluminium (AlO)
aluminium oxide	N’importe quel oxyde d’aluminium; Oxyde d’aluminium, alumine — Al₂O₃
aluminium phosphide	Phosphure d’aluminium
aluminium silicate	silicate d’aluminium
aluminium trihydride	Hydrure d’aluminium, alane (AlH₃)
aluminum can	Canette; Boite de conserve
aluminum foil	Papier d’aluminium, papier d’alu
alveolar echinococcosis	Échinococcose alvéolaire (maladie)
alveolar hydatid disease	Échinococcose alvéolaire
ambient black metal	Black ambient
ambient declaration	Déclaration ambiante
ambulance chaser	Chasseur d’ambulance
american alligator	Alligator d’Amérique
american badger	Blaireau américain
american bronze	Bronzé d’Amérique
american century	Siècle américain
american dream	Rêve américain
american eel	Anguille d’Amérique
american football	Football américain
american foxhound	Foxhound américain
american longhair	Maine coon (chat)
american opossums	Opossums d’Amérique
american pale ale	Bière américaine développée aux Etats-Unis
american plaice	Plie canadienne, flétan nain (Hippoglossoi
american plum	Prunier d'Amérique (Prunus americana Marsh
american red plum	Prunier d'Amérique (Prunus americana Marsh
american way of life	Mode de vie américain moderne, American wa
american white pelican	Pélican d’Amérique, pélican blanc
american wild plum	Prunier d'Amérique (Prunus americana Marsh
amino acid	Acide aminé
aminomethylphosphonic acid	Acide aminométhylphosphonique
ammonia liquor	Hhydroxyde d’ammonium, ammoniaque (NH₄⁺ +
ammonia solution	Hhydroxyde d’ammonium, ammoniaque (NH₄⁺ +
ammonia water	Hhydroxyde d’ammonium, ammoniaque (NH₄⁺ +
ammonical liquor	Hhydroxyde d’ammonium, ammoniaque (NH₄⁺ +
ammonium carbonate	Carbonate d’ammonium
ammonium chloride	(nom UICPA) Chlorure d’ammonium (NH₄Cl)
ammonium fluoride	Fluor d’ammonium
ammonium hydroxide	Hhydroxyde d’ammonium, ammoniaque (NH₄⁺ +
ammonium nitrate	Nitrate d’ammonium
among other things	Entre autres
amongst other things	Notamment; Entre autres
amplifiable plasmid	Plasmide amplifiable
amplification product	Produit d’amplification
amplified sequence	Séquence amplifiée
amplitude modulation	Modulation d’amplitude
amusement park	Parc d'attractions
amyotrophic lateral sclerosis	Sclérose latérale amyotrophique
an apple a day keeps the doctor away	chaque jour une pomme conserve son homme ;
an ounce of prevention is worth a pound of cure	Mieux vaut prévenir que guérir
anaerobic digestion	Digestion anaérobie
anal sex	Sodomie
analog signal	Signal analogique
analog simulator	Simulateur analogique
analog switching	Commutation analogique
analog transmission	Transmission analogique
analog-to-digital converter	Convertisseur analogique-numérique
analogue signal	Signal analogique
analogue simulator	Simulateur analogique
analogue switching	Commutation analogique
analogue transmission	Transmission analogique
analogue-to-digital converter	Convertisseur analogique-numérique
analysis paralysis	Le fait de ne pouvoir prendre une décision
analytical chemist	Analyste
analytical chemistry	Chimie analytique
analytical sensor	Capteur analytique
anaphylactic shock	Choc anaphylactique
anarchist communism	Anarcho-communisme
ancestral character	Caractère ancestral
anchimeric assistance	Assistance anchimère
anchor baby	Enfant né de parents immigrés ou étrangers
ancient egypt	Égypte ancienne
ancient tree	Arbre qui est dans la troisième et dernièr
and all	Etc; Tout ça. Utilisé pour rappeler ce qui a dé
and all that	Et tout ça, et tout le toutim, et ce genre
and also	D'ailleurs, en prime, et puis
and counting	Signale que le nombre cité précédemment es
and how	Et comment
and so forth	Et ainsi de suite
and so on	Et ainsi de suite
and so on and so forth	Etc., j’en passe et des meilleures
andamanese pig	Synonyme de Indian boar (Sus scrofa crista
andean fox	Culpeau
andean slender mouse opossum	Opossum-souris pâle (Marmosops impavidus T
angel echo	Écho mirage
angelman syndrome	Syndrome d’Angelman
anger room	Salle spécialement aménagée pour se défoul
angina pectoris	Angine de poitrine
angle of depression	Angle de dépression
angle of tilt	Angle d’inclinaison
angular momentum	Moment angulaire
anhydrous nitric acid	Synonyme de dinitrogen pentaoxide (pentaox
aniline black	Noir d’aniline
animal hoarding	Syndrome de Noé
anion exchange membrane fuel cell	Pile à combustible à hydrogène à membrane
ankle monitor	Bracelet électronique de cheville
ankylosing spondylitis	Spondylarthrite ankylosante
anno domini	Après Jésus-Christ, de notre ère
annus horribilis	Annus horribilis
annus mirabilis	Annus mirabilis
anonymous class	Classe anonyme
anonymous function	Fonction anonyme
another time	En d’autres temps
answer the final summons	Mourir
answering machine	Répondeur (appareil électronique)
ant orchid	Orchidée du genre Chiloglottis
ante up	Payer
anterior ethmoidal foramen	Foramen ethmoïdal antérieur
anterior lacrimal crest	Crête lacrymale antérieure
anterior scalene	Muscle scalène antérieur
anthropic principle	, Principe anthropique
anthropogenic climate change	Changement climatique anthropique
anthropogenic removal	Absorption anthropique de carbone
anthropoid ape	Pongidé
anti-dating sim	Type de jeu vidéo possédant des éléments r
anti-debris device	Dispositif antidébris
anti-diarrheal drug	Synonyme de antidiarrheal (antidiarrhéique
anti-dumping duty	Droit correcteur
anti-shock mounting	Capot amortisseur
anti-tank gun	Bazooka
anticipatory obedience	Obéissance anticipée
anticlinal conformation	Conformation anticlinale
antidumping duty	Droit correcteur
antigen presentation	Présentation de l’antigène
antigen processing	Apprêtement de l’antigène
antimonous sulfide	Trisulfure d’antimoine (Sb₂S₃)
antimony black	Noir d’antimoine
antimony pentasulfide	Pentasulfure d’antimoine (Sb₂S₅)
antimony red	Pentasulfure d’antimoine (Sb₂S₅)
antimony sesquisulfide	Trisulfure d’antimoine (Sb₂S₃)
antimony sulfide	Sulfure d’antimoine
antimony trihydride	Hydrure d’antimoine (SbH₃)
antimony trisulfide	Trisulfure d’antimoine (Sb₂S₃)
antimony vermilion	Trisulfure d’antimoine (Sb₂S₃)
antiorthostatic decubitus	Décubitus antiorthostatique
antiperiplanar conformation	Conformation antipériplanaire
antique white	Blanc cassé
antisense rna	ARN antisens
antitermination factor	Facteur d’antiterminaison
antivirus program	Logiciel antivirus
antivirus software	Logiciel antivirus
any amount of	N’importe quelle quantité de. Note d’usage; Beaucoup de. Note d’usage : Peut êtr
any old how	De manière décontractée, désinvolte, voire
any port in a storm	Il faut accepter n’importe quel abri quand
anybody else	N’importe qui d’autre
anyone else	N’importe qui d’autre
anything else	Autre chose, n’importe quoi d’autre
anywhere else	N’importe où ailleurs
ao dai	Ao dai
aorist aspect	Aoriste
ap flour	Farine tout usage
apart from	À part, en outre, hormis, sauf
apartment building	Immeuble résidentiel
aperture synthesis	Synthèse d’ouverture
aperture synthesis telescope	Télescope à synthèse d’ouverture
apogee boost motor	Moteur d’apogée
apogee ignition	Allumage à l’apogée
apogee kick motor	Moteur d’apogée
apogee motor	Moteur d’apogée
apoplectic fit	Apoplexie
apothecary shop	Pharmacie
app store	App store
appeal to emotion	Appel à l’émotion
appendix n	Chapitre « Appendix N: Inspirational and E; Œuvres ayant inspiré la diégèse (l’u
apple cider	Cidre; Jus de pomme, non filtré, non sucré
apple core	Trognon de pomme
